Name,Year,Location,Vendeur,Owner_type,Kilometers_Driven,Fuel_Type,Transmission,Puissance_fiscale,Puissance_dynamique,Price
NISSAN Qashqai 2016,2016,Casablanca,Particulier,Première,178.000 km,Diesel,Automatique,6 cv ,130 ch ,180.000 DH
DACIA Logan 2022,2022,Mohammadia,Particulier,Première,68.000 km,Diesel,Manuelle,5 cv ,- ,75.000 DH
RENAULT Captur 2016,2016,Tanger,Particulier,Première,75.000 km,Diesel,Manuelle,6 cv ,85 ch ,140.000 DH
KIA Sportage 2008,2008,Agadir,Particulier,Seconde,260.000 km,Diesel,Automatique,8 cv ,- ,65.000 DH
RENAULT Captur 2022,2022,Safi,Particulier,Première,29.800 km,Diesel,Manuelle,6 cv ,115 ch ,220.000 DH
MERCEDES Classe E 1998,1998,Rabat,Particulier,Seconde,240.000 km,Essence,Manuelle,11 cv ,- ,40.000 DH
VOLVO XC90 2019,2019,Casablanca,Professionnel,Première,59.000 km,Diesel,Automatique,8 cv ,235 ch ,470.000 DH
DACIA Sandero 2018,2018,Larache,Particulier,Première,53.156 km,Diesel,Manuelle,6 cv ,85 ch ,120.000 DH
MERCEDES CLS Coupé 2017,2017,Casablanca,Particulier,Première,160.000 km,Diesel,Automatique,9 cv ,204 ch ,360.000 DH
TOYOTA Yaris 2020,2020,Tanger,Particulier,Première,69.000 km,Diesel,Manuelle,6 cv ,90 ch ,130.000 DH
SEAT Ateca 2018,2018,Tanger,Particulier,Seconde,193.000 km,Diesel,Manuelle,6 cv ,115 ch ,260.000 DH
VOLKSWAGEN Touran 2018,2018,Oujda,Particulier,Seconde,195.000 km,Diesel,Manuelle,8 cv ,115 ch ,235.000 DH
FIAT Tipo Hatchback 2018,2018,Casablanca,Particulier,Première,44.000 km,Diesel,Automatique,6 cv ,120 ch ,145.000 DH
HONDA Accord 2011,2011,Casablanca,Particulier,Seconde,275.000 km,Diesel,Manuelle,9 cv ,150 ch ,106.000 DH
CITROEN C3 Pluriel 2004,2004,Casablanca,Particulier,Seconde,110.000 km,Essence,Automatique,9 cv ,110 ch ,55.000 DH
VOLVO XC40 2020,2020,Marrakech,Particulier,Première,71.450 km,Essence,Automatique,11 cv ,190 ch ,285.000 DH
HYUNDAI Tucson 2022,2022,Casablanca,Particulier,Première,43.000 km,Diesel,Automatique,6 cv ,136 ch ,380.000 DH
FORD C-Max 2013,2013,Salé,Particulier,Seconde,195.000 km,Diesel,Manuelle,6 cv ,110 ch ,115.000 DH
NISSAN Qashqai 2018,2018,Casablanca,Particulier,Première,129.000 km,Diesel,Manuelle,6 cv ,110 ch ,187.000 DH
VOLKSWAGEN Jetta 2019,2019,Casablanca,Particulier,Seconde,73.000 km,Diesel,Automatique,8 cv ,150 ch ,188.000 DH
AUDI A3 Sportback 2021,2021,Casablanca,Particulier,Première,66.800 km,Diesel,Automatique,8 cv ,150 ch ,280.000 DH
FORD Fiesta 2018,2018,Agadir,Particulier,Première,42.000 km,Diesel,Manuelle,6 cv ,85 ch ,115.000 DH
MERCEDES Classe B 2012,2012,Rabat,Particulier,Seconde,180.000 km,Essence,Manuelle,9 cv ,125 ch ,130.000 DH
FIAT Tipo 2020,2020,Agadir,Particulier,Première,150.000 km,Diesel,Manuelle,5 cv ,95 ch ,120.000 DH
DACIA Sandero 2018,2018,Casablanca,Particulier,Seconde,140.000 km,Diesel,Manuelle,6 cv ,85 ch ,105.000 DH
VOLKSWAGEN Golf 2004,2004,Oujda,Particulier,Seconde,162.000 km,Essence,Automatique,11 cv ,- ,63.000 DH
VOLKSWAGEN Passat 2005,2005,Casablanca,Particulier,Seconde,193.700 km,Diesel,Automatique,8 cv ,110 ch ,73.000 DH
RENAULT Kangoo 2017,2017,Casablanca,Particulier,Première,224.000 km,Diesel,Manuelle,6 cv ,85 ch ,118.000 DH
KIA Ceed 2009,2009,Kénitra,Particulier,Seconde,132.500 km,Diesel,Manuelle,6 cv ,115 ch ,79.000 DH
MERCEDES Classe E 2011,2011,Casablanca,Particulier,Seconde,190.000 km,Diesel,Automatique,9 cv ,190 ch ,178.000 DH
LAND ROVER Discovery Sport 2019,2019,Casablanca,Particulier,Première,77.647 km,Diesel,Automatique,8 cv ,150 ch ,280.000 DH
DACIA Dokker 2019,2019,Casablanca,Particulier,Première,60.000 km,Diesel,Manuelle,6 cv ,85 ch ,115.000 DH
JAGUAR XF 2016,2016,Casablanca,Particulier,Seconde,132.000 km,Diesel,Manuelle,8 cv ,180 ch ,250.000 DH
FIAT 500X 2019,2019,Casablanca,Particulier,Seconde,76.000 km,Diesel,Automatique,- ,- ,200.000 DH
VOLKSWAGEN Golf 2014,2014,Rabat,Particulier,Première,180.000 km,Diesel,Manuelle,8 cv ,150 ch ,128.000 DH
LAND ROVER Range Rover 2019,2019,Casablanca,Particulier,Première,121.000 km,Diesel,Automatique,12 cv ,258 ch ,650.000 DH
JEEP Compass 2022,2022,Casablanca,Particulier,Première,13.000 km,Diesel,Manuelle,8 cv ,130 ch ,250.000 DH
DS DS3 2012,2012,Casablanca,Particulier,Première,82.000 km,Essence,Manuelle,8 cv ,- ,85.000 DH
